communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
Near North Side,8,SRO/Supportive,Schiff Residences,1244 N. Clybourn Ave.,60610,312-867-1442,Mercy Housing Management Group,253,1172776.621,1908546.231,41.9044877,-87.6407798,"(41.90448770178859, -87.64077980359421)"
Grand Boulevard,38,Multifamily,Bronzeville Family Apts.,400 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,60,1664018.3854416958,1877940.683,41.8203495,-87.61651411,"(41.820349500309, -87.6165141094717)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,526 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apts.,12,1152910.964,1903460.212,41.8909481,-87.71388693,"(41.8909480951075, -87.7138869272678)"
North Center,5,Senior,North Center Senior Apts.,2324 W. Irving Park Road,60618,773-478-8900,"Metroplex, Inc.",60,1160064.901,1926543.181,62.13773383841717,-57.63361198000624,"(41.9541446663226, -87.6869750498606)"
West Ridge,2,ARO,Joy Plaza Residences,6411 N. Rockwell Ave.,35272,224-534-9361,Devon NJ LLC,3,776938.8722088271,1942516.737,41.99802217,-87.69463113,"(41.9980221692538, -87.6946311266723)"
Lower West Side,31,Multifamily,Casa Guanajuato,1313 W. 19th St.,60608,312-666-1323,The Resurrection Project,6,1344774.8763305442,1890829.499,41.85597939,-87.65939108,"(41.8559793926667, -87.6593910822171)"
North Lawndale,29,Multifamily,Park Douglas,2642-44 W. 12 th Pl,60608,773-893-4800,Interstate Realty Management Co.,17,1158736.897,1894328.04,41.86577114,-87.69274143,"(41.8657711435233, -87.6927414310716)"
Edgewater,77,Multifamily,Winthrop Apts.,6214 N. Winthrop Ave.,60660,773-477-7070,Hunter Properties,108,1167688.709,1378960.564381185,41.99501546,-87.65851604,"(41.9950154575665, -87.6585160357341)"
Lake View,6,Senior LGBTQ,Town Hall Apts.,3600 N. Halsted St.,60613,773-472-6463,Heartland Houing Inc.,79,1010465.1527186924,1924164.847,39.221015784631824,-87.64963658,"(41.9474017349803, -87.6496365843957)"
Uptown,3,ARO,The Draper,5050 N. Broadway,60640,312-818-1722,Flats LLC,35,1167357.302,2709741.662609024,41.97412953,-87.6599553,"(41.9741295261027, -87.6599553011627)"
Washington Park,40,People with Disabilities,"Brand New Beginnings, Inc.",5801 S. Michigan Ave.,60637,773-955-5780,Harriet Tubman NFP,25,1178188.164,1178188.164,41.78915201,-126.16858297508476,"(41.7891520073212, -87.6221790761558)"
Portage Park,15,ARO,4015 Narragansett LLC,4015-23 N. Narragansett Ave.,60634,847-653-6922,Zidan Management Group,2,1133012.825,1926100.104,41.95344562,-87.78643375,"(41.9534456208497, -87.7864337467324)"
West Town,24,Multifamily,La Estancia,2753 W. Division St.,86439,773-227-6332,Bickerdike Redevelopment Corp.,59,1157605.979,1907820.481,41.90281875,-87.69652556,"(41.9028187509983, -87.6965255553721)"
Englewood,68,Senior,Montclare JoAnn Thompson Senior Residences,6332 S Green St.,60621,312-267-4850,Pacific Management Inc.,-158,1171685.363,1862689.261,41.77867633,-87.64613601,"(41.77867633250194, -87.64613601414938)"
Near North Side,8,Multifamily,Parkside-I Rental,545 W. Division St.,60610,312-944-8500,Holsten Management Corp.,116,1172154.289,1908220.998,41.90360901,-61.73870508268446,"(41.9036090085436, -87.6430753953974)"
Rogers Park,1,Multifamily,Clark Estes Apts.,1763 W. Estes Ave.,60626,773-293-7443,"Ross Financial Services, Inc.",54,1163231.887,1947395.327,42.01129755,-87.6747434,"(42.011297553855016, -87.67474340393993)"
Oakland,36,Multifamily,Lakefront Phase II,4130 S. Oakenwald Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184448.129,1877628.139,41.81938039,-87.59887932,"(41.8193803897797, -87.5988793227119)"
Uptown,3,Multifamily,Hazel Winthrop Apts.,4426 N. Magnolia Ave.,60640,773-334-5003,Preservation Housing Management LLC,6,697392.4099202119,1173256.444245017,41.96252489,-87.66112652,"(41.96252489219771, -87.66112652498248)"
Near West Side,28,ARO,Fulbrix Apts.,160 N. Elizabeth St.,60607,312-698-0160,Lincoln Property Co.,75,1167876.373,1504451.9227183298,41.88476168,-87.65898834,"(41.88476168481302, -87.6589883360869)"
South Deering,51,Senior,Porta Coeli Residence,2260 E. 99th St.,60617,773-374-2470,Catholic Charities,86,876058.42064626,1349612.8076126666,41.71539824,-87.56871495,"(41.7153982407788, -87.5687149518265)"
West Town,24,ARO,Nevele 22 Apts.,1122 W. Chicago Ave.,39706,773-227-1202,Lipe Property Co.,19,1168610.474,1905551.686,41.89636176,-102.08987124317348,"(41.89636175681587, -87.65616994808683)"
Uptown,3,ARO,Saxony Wilson,1630 W. Wilson Ave.,79639,312-243-5353,Malet Realty,-153,759135.5648589397,1930651.529,41.96532595,-87.67068252,"(41.9653259479463, -87.6706825225852)"
Greater Grand Crossing,69,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",24,1176891.268,1858664.434,41.76751603,-87.62717205,"(41.7675160251626, -87.6271720534562)"
Douglas,35,Multifamily,Park Boulevard IIB,3633 S. State St.,66108,773-548-8792,"Urban Property Advisors, LLC",12,1268642.3818336383,1880943.186,41.82865019,-87.62635888,"(41.8286501893194, -87.6263588793837)"
Austin,25,Multifamily,Rebecca Walker Complex,5565-71 W. Quincy Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139234.68,1898405.584,55.86090529300812,-87.76423685,"(41.8773374950883, -87.7642368505251)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3145 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155134.693,2073067.940860601,41.88996815,-87.7057294,"(41.8899681469222, -87.7057293959162)"
Lake View,6,ARO,Broadway Apts.,3120-22 N. Broadway,60657,773-276-4266,The Inverbrass Funds LLC,2,1171668.171,1920857.17,41.93829399,-77.24853705461553,"(41.9382939864091, -87.6444881624503)"
East Garfield Park,27,Supportive Housing,Deborah's Place III,2822 W. Jackson Blvd.,48549,773-638-6490,Deborah's Place,90,1157527.975,1898606.336,41.87753589,-87.69706305,"(41.8775358857993, -87.6970630483414)"
Douglas,35,Multifamily,508 S. Pershing at Oakwood Shores,508 E. Pershing Road,60653,872-713-8100,The Community Builders,36,795873.3713781452,1879269.849,48.77530443098384,-87.6141005,"(41.82398200091408, -87.61410050373568)"
Hunboldt Paek,23,Multifamily,Los Vecinos,4250 W. North Ave.,60639,312-660-1374,Heartland Housing Inc.,62,1147575.749,1910329.902,41.90990327,-87.73330423,"(41.90990326796351, -87.7333042287006)"
Near North Side,8,Multifamily,North Town Village I & II,1311 N. Halsted St.,60642,312-944-9488,Holsten Real Estate Dev. Corp.,112,1170813.062,1908876.862,41.90543825,-87.64798274,"(41.9054382467375, -87.6479827434046)"
Uptown,3,ARO,The Ainslie,4914 N. Clark St.,60640,312-600-4501,Honore Properties,5,1165171.809,1933139.263,28.499420435437685,-86.41422117523706,"(41.9721373560187, -87.668013158017)"
West Pullman,53,Senior,Kennedy Jordan Manor,825 W. 118th St.,60643,773-568-2929,Source Works Management,227,1172827.454,1826559.72,41.67950676,-87.6430113,"(41.6795067550453, -87.6430113026999)"
North Lawndale,29,Supportive/HIV/AIDS,Phoenix House,1251 S. Sawyer Ave.,45505,773-935-4663,"AIDSCare, Inc.",32,1349775.5117138247,1893956.68,41.86482901,-87.70669366,"(41.8648290105554, -87.706693663235)"
Englewood,68,Senior,Yale Building,6565 S. Yale Ave.,60621,773-224-7669,Yale Building LLP,225,1175681.092,2613744.637150451,41.77466762,-104.3440619834669,"(41.7746676246895, -87.6315301981577)"
Grand Boulevard,38,Multifamily,Legends South - Hansberry Square,4034 S. State St.,54582,773-548-8800,Interstate Realty Management Co.,181,1176907.636,2196021.785563763,32.31331346672951,-87.62652565,"(41.8209108341935, -87.6265256539288)"
Loop,32,ARO,Millie on Michigan,300 N. Michigan Ave.,60601,312-878-0300,Magellan Property Management,7,1177210.923,1902164.231,41.8868758,-87.62468519,"(41.88687579539163, -87.62468518670747)"
Logan Square,22,Multfamily,Tierra Linda Apts.,1858 N. Spaulding Ave.,35405,773-276-5338,LUCHA,3,1466343.6791463122,1912395.375,36.34259180429112,-87.71038198,"(41.9154493391046, -87.7103819818634)"
Near West Side,28,Multifamily,Near West Side Apts.,216 S. Hoyne Ave.,60612,312-738-2280,Baker-Simmons Apartments,84,924573.99003562,1898857.889,41.87812559,-87.67915413,"(41.8781255904191, -87.6791541270768)"
Washington Park,40,Multifamily,St. Edmund's Oasis,215 E. 61st St.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,5,1178814.52,1864578.625,45.67376774497826,-57.80750442862018,"(41.7837016280704, -87.6199427242499)"
North Center,5,ARO,HW,2405 W. Hutchinson St.,60618,773-332-0698,KR Developments,5,1159529.243,1928114.259,41.95846686,-69.91863400271949,"(41.9584668605244, -87.6889007679548)"
Grand Boulevard,38,Multifamily,Legends South - Coleman Place,223 E. 41st St.,60653,773-268-0202,Interstate Realty Management Co.,118,1178573.52,1877831.629,41.82007455,-87.6204233,"(41.8200745540387, -87.6204232972122)"
Uptown,3,Women's Supportive,Sarah's House,4836 N. Sheridan Road,89729,773-751-7475,Sarah's Circle,10,1168716.801,1932469.91,41.97022435,-86.73306295769103,"(41.970224345725285, -87.6549971996707)"
North Lawndale,29,Senior,Tabernacle Apts.,3836 W. Cermak Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,270,1621245.1824371335,1889144.749,28.40849833145216,-87.72132688,"(41.8517027367806, -87.7213268803416)"
Edgewater,77,Multifamily,Edge on Broadway,6149 N. Broadway,60660,773-525-6570,Spaces Real Estate,6,1167225.117,1756025.7304743826,41.9937343,-87.66023494,"(41.9937342988581, -87.6602349438158)"
Near West Side,28,Multifamily,City Gardens,320 S. Maplewood Ave.,60612,844-842-2779,Interstate Realty Management Co.,76,1159392.507,1405172.5459043132,41.87698195,-87.69022214,"(41.8769819545732, -87.6902221443242)"
West Town,22,People with Disabilities,Crystal Courts/Anixter Center,1122 N. California Ave.,60622,773-489-2417,Anixter Center,17,1157480.326,1907439.713,41.90177645,-87.69699748,"(41.90177644987999, -87.6969974803004)"
Lincoln Square,4,ARO,SB 1900 W Lawrence Ave LLC,1900 W. Lawrence Ave.,60640,847-924-2297,CA Urban Living,6,1162932.097,1931943.503,41.96890358,-87.67628265,"(41.968903575201, -87.6762826511204)"
Woodlawn,42,Multifamily,Eddie Mae & Alex Johnson Apts.,6230 S. Dorchester Ave.,60637,773-288-4202,Woodlawn East Community,84,1186573.262,1863816.865,41.78143113,-87.59152085,"(41.781431130748, -87.5915208532369)"
West Elsdon,62,Multifamily,Park Place Family Apts.,3630 W. 51st St.,60632,773-767-7260,"Leasing and Management Co., Inc.",78,967656.5212993908,1870602.659,41.80078286,-87.71473662,"(41.8007828624241, -87.7147366176902)"
Logan Square,22,ARO,1962-66 N. Milwaukee Ave. Apts.,1962-66 N. Milwaukee Ave.,60647,773-494-4395,Kiferbaum Devp. Group,4,1159903.525,1913009.701,41.91701126,-87.68794282,"(41.917011260975, -87.6879428188384)"
West Garfield Park,26,Supportive Housing,The Rebecca Johnson Apts.,2822 W. Jackson Blvd.,60612,773-638-6393,Deborah's Place Ltd.,52,867774.4712002703,2057199.979939791,41.87753589,-79.04455121091294,"(41.8775358857993, -87.6970630483414)"
Uptown,3,Multifamily,Magnolia Court Apts.,4878 N. Magnolia Ave.,60640,773-878-2186,"Park, Inc.",60,1167014.087,1932819.273,51.39413334418856,-52.48493404089552,"(41.9712198343036, -87.6612480604762)"
North Lawndale,29,Multifamily,Park Douglas,2652 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,4,1158622.398,1894325.458,29.352872164016134,-46.37815065119558,"(41.8657664015576, -87.6931618351705)"
Logan Square,22,Multifamily,Zapata Apts.,3734 W. Cortland St.,60647,773-227-6332,Bickerdike Apartments,30,1151016.257,1379829.8933044835,28.244614810949948,-51.05578629389356,"(41.9155235348496, -87.7206107279615)"
Grand Boulevard,38,Senior,Evans Langley,727 E. 50th Pl,60615,312-368-8610,"Metroplex, Inc.",262,1182079.08,1871653.126,41.80303973,-87.60775489,"(41.8030397258336, -87.6077548851795)"
