AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2356,POLICE SERGEANT                    ,M,W ,50 - 59,51,RIVER PATROL                                           ,STAFF                                                  ,18,224
2357,POLICE LIEUTENANT                  ,F,W ,50 - 59,55,3RD DIVISION                                           ,STAFF                                                  ,23,225
2359,POLICE SERGEANT                    ,M,W ,40 - 49,44,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,18,226
2360,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,7TH DIVISION                                           ,STAFF                                                  ,18,227
2361,POLICE SERGEANT                    ,M,W ,40 - 49,48,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,23,228
2362,POLICE OFFICER                     ,M,W ,40 - 49,46,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,23,229
2365,POLICE OFFICER                     ,M,W ,50 - 59,53,SWAT UNIT                                              ,SQUAD 2                                                ,22,230
2367,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,23,231
2368,POLICE MAJOR                       ,M,B ,40 - 49,46,3RD DIVISION                                           ,STAFF                                                  ,10,232
2369,POLICE OFFICER                     ,M,W ,40 - 49,49,7TH DIVISION                                           ,2ND PLATOON                                            ,18,233
2372,POLICE OFFICER                     ,M,W ,40 - 49,49,1ST DIVISION                                           ,BIKE PLATOON                                           ,24,234
2373,POLICE OFFICER                     ,M,W ,40 - 49,48,6TH DIVISION                                           ,DETECTIVES                                             ,22,235
2378,POLICE OFFICER                     ,M,B ,40 - 49,40,NARCOTICS                                              ,SQUAD 3                                                ,18,236
2379,POLICE OFFICER                     ,M,U ,50 - 59,50,CANINE UNIT                                            ,2ND PLATOON                                            ,19,237
2380,POLICE OFFICER                     ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,21,238
2382,POLICE SERGEANT                    ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,23,239
2387,POLICE OFFICER                     ,M,W ,40 - 49,49,TRAINING                                               ,BASIC ACADEMY                                          ,23,240
2394,POLICE OFFICER                     ,M,W ,50 - 59,55,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,23,241
2395,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,TRAFFIC                                                ,STAFF                                                  ,19,242
2397,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,1ST PLATOON                                            ,23,243
2399,POLICE OFFICER                     ,M,W ,OVER 60,61,7TH DIVISION                                           ,2ND PLATOON                                            ,21,244
2400,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,1ST PLATOON                                            ,19,245
2402,POLICE OFFICER                     ,M,W ,40 - 49,44,AIR PATROL                                             ,STAFF                                                  ,20,246
2403,POLICE OFFICER                     ,F,W ,50 - 59,54,1ST DIVISION                                           ,1ST PLATOON                                            ,22,247
2404,POLICE OFFICER                     ,F,W ,40 - 49,45,1ST DIVISION                                           ,BIKE PLATOON                                           ,21,248
2406,POLICE OFFICER                     ,F,B ,50 - 59,59,1ST DIVISION                                           ,BIKE PLATOON                                           ,20,249
2407,POLICE SERGEANT                    ,M,W ,40 - 49,44,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,20,250
2410,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,2ND PLATOON                                            ,21,251
2413,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,1ST PLATOON                                            ,6,252
2415,POLICE SERGEANT                    ,M,W ,40 - 49,49,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,22,253
2416,POLICE SERGEANT                    ,M,W ,50 - 59,52,CANINE UNIT                                            ,STAFF                                                  ,22,254
2418,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,48,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,25,255
