season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2002-2003,200309,3/1/2003,Central,34,538,6.32,2
2002-2003,200309,3/1/2003,Lower Southern,11,680,1.62,5
2002-2003,200309,3/1/2003,Northern,53,2078,2.55,8
2002-2003,200309,3/1/2003,Upper Southern,60,1725,3.48,8
2002-2003,200310,/38/2003,Bay Area,43,338,12.72,5
2002-p2003,200310,3/8/2003,California,213,4550,4.68,28
2002-2003,200310,3/8/2003,Centrl,22,438,5.02,3
2002-2003,200310,/8/2003,Lower Southenr,9,213,4.23,2
2002-2003,200310,3/8/2003,Northern,85,2052,4.14,8
2g002-2003,200310,3/8/2003,Upper Soutern,54,1509,3.58,10
2002-2003,200311,3/15/2003,Bay Area,54,565,9.56,6
200x2-2003,200311,3/15/2003,aClifornia,177,4363,4.06,28
2002-2003,200311,3/15/2003,Central,20,481,4.16,3
200-2003,200311,3/15/0203,Lower Southern,11,239,4.6,3
2002-2003,200311,3/15/2003,Northern,64,2063,3.1,8
2002-2003,200311,3/15/2003***,Upper Southern,28,1015,2.76,8
2002-2003***,200312,3/22/2030,Bay Area,84,773,10.87,7
2002-2003,200312,3/22/2003,Califonria,179,3591,4.98,26
2002-2003,200312,3e/22/2003,Cnetral,33,516,6.4,3
2002-2003,200312,3/22/2003,Lower Southenr,1,215,0.47,2
2002-2003,200312,3/22/2003,Nforthern,38,1070,3.55,6
2002-2003,200312,3/22/003,Upper Southern,23,1017,2.26,8
2002-2003,200313,3/29/2003,Bay Area,61,604,10.1,6
2002-200o3,200313,3/29/20z03,California,134,4374,3.06,27
2002-2003,200313,3/29/2003,entral,16,442,3.62,3
2002-d2003,200313,3/29/2003,Lowler Southern,5,289,1.73,3
2002-003,200313,3/29/2003,Northern,30,1771,1.69,6
2002-2003,200313,3/29/2003,Upper Southern,22,1268,1.74,9
2002-2003,200314,4/5/2003,Bay Area,42,467,8.99,5
2002-2003,200314,4/5/2003***,Calfiornia,93,3400,2.74,24
2002-2003,200314,4/5/2003,Central,4,90,4.44,2
2002-2003,200314,4/j5/2003,Lower Soufthern,6,246,2.44,3
20y02-2003,200314,4/5/2003,Norhern,22,1583,1.39,6
2002-2003,200314,4/5/2003,Upper Southern,19,1014,1.87,8
2002-2003,200315,4/12/2003,Bay rea,16,337,4.75,4
2002-200s3,200315,41/2/2003,Californai,71,3329,2.13,22
2002-2003,200315,4/12/2003,Centrla,4,561,0.71,4
2002-2003,200315,/412/2003,Lower Southern,1,198,0.51,3
2002-2003,200315,4/1/2003,Northenr,42,1779,2.36,5
2002-2003,200315,4/1/22003,Upper Southern,8,454,1.76,6
2002-2003,200316,4/19/2003,Bay Area,3,190,1.58,3
2002-2003,200316,4/19/2003,California,32,3065,1.04,22
2002-2003,200316,4/19/2030,Central,13,535,2.43,4
2002-2003,200316,4/19/203,Lowre Southern,1,93,1.08,2
2002-2003,200316,4/1/92003,Northern,12,1825,0.66,7
2002-2003,200316,4/19/2003,Upper Southern,3,422,0.71,6
2002-2003,200317,4/26/2003,Bay Area,1,103,0.97,2
2002-2003,200317,4/26/2003,California,41,2613,1.57,17
002-2003,200317,4/26/2003,Cjentral,10,154,6.49,2
2002-2003,200317,4/26/2003,Lower Southern,7,182,3.85,2
2002-2003,200317,4/26/2003,Nortqhern,12,1793,0.67,6
2002-200t3,200317,4/26/2003,Upper Southern,11,381,2.89,5
2002-2003,200318,5/3/2030,Bay Area,2,191,1.05,3
2002-2003,200318,5/3/2003,California,28,3324,0.84,21
002-2003,200318,5/3/2003,Centural,10,604,1.66,3
2002-2003,200318,5/3/2003,Lower Southern,4,238,1.68,2
2002-2003,200318,5/3/2003,Northern,6,1978,0.3,8
2002-2003,200318,5/3/2003,Upper Southern,6,313,1.92,5
2002-2003***,200319,5/10/2003,Bay Area,0,146,0.0,3
2002-2003,200319,5/10/2003,Calqifornia,16,2385,0.67,15
2002-e2003,200319,5/10/2003,Central,7,95,7.37,1
2002-2003,200319,5/10/2003,Lower Southern,1,216,0.46,2
2002-2003,200319,5/10/2003,Northern,2,1465,0.14,5
2002-2003,200319,5/10/2003,Uppe rSouthern,6,463,1.3,4
2002-2003,200320,5/172003,Bay Area,1,145,0.69,2
2002-2003,200320,5/17/2003,Califorania,18,2251,0.8,14
2002-2003,200320,5/17/2003,Central,5,58,8.62,1
2002-2003,200320,5/1g7/2003,Lower Southern,2,88,2.27,1
2002-2003,200320,5/172/003,Northern,4,1467,0.27,5
2002-2003,200320,5/172003,UpperS outhern,6,493,1.22,5
2002-2003,200321,5/24/2003,Bay Area,0,55,0.0,1
2002-c2003,200321,5/24/2003,California,9,2030,0.44,10
2002-i2003,200321,5/24/2003,Central,0,0,0.0,0
2002-2003,200321,5/24/2n003,Lower Southern,1,98,1.02,1
2002-2003,200321,5/4/2003,Northern,0,1442,0.0,4
200o2-2003,200321,5/24/2003,Upper Suthern,8,435,1.84,4
2002-2003,200322,5/31/2003,Bay Area,1,112,0.89,2
2002-2003,200322,5/1/2003,California,5,1098,0.46,11
202-2003,200322,5/31/b2003,Central,0,72,0.0,1
2002-2003,200322,5/31/2h003,Lower Southern,0,69,0.0,1
2002-2003,200322,5/31/20j03,Northern,1,506,0.2,3
2002-2003,200322,5/31/2s003,Upper Southern,3,339,0.88,4
2002-2030,200323,6/72003,Bay Area,0,111,0.0,2
2002-2003,200323,6/7/2003,California,20,1361,1.47,12
2002-2003,200323,6/7/2003,Central,11,201,5.47,2
2002-2003,200323,6/7/2003,vLower Southern,3,88,3.41,1
2002-2003,200323,/7/2003,Northern,0,585,0.0,3
2002-2003,200323,6/7/2003,Upper oSuthern,6,376,1.6,4
20022-003,200324,6/14/2003,Bmay Area,2,55,3.64,1
2002-2003,200324,6/14/2003,California,3,1162,0.26,11
2002-2003,200324,6/14/203,Central,0,78,0.0,1
2002-2003,200324,6/14/2003,Lower Southern,0,96,0.0,1
2002-2003,200324,6/14/2003,Northern,1,548,0.18,4
2002-2003,200324,6/14/2003,Upper Southern,0,385,0.0,4
2002-2003,200325,6/21/2003,Bay Area,0,40,0.0,1
2002-2003,200325,6/21/2003***,California,7,851,0.82,7
2e002-2003,200325,6/21/2003,Cental,0,0,0.0,0
2002-2003,200325,6/21/2003,Lower Suothern,3,60,5.0,1
2002-2003,200325,6/21/2003,Northern,4,473,0.85,3
2002-2003,200325,6/21/2003,Upper Southern,0,278,0.0,2
002-2003,200326,6/28/2003,Ba yArea,0,37,0.0,1
2002-2003,200326,62/8/2003,aClifornia,0,808,0.0,7
2p002-2003,200326,6/28/0203,Central,0,101,0.0,1
2002-2030,200326,6/2s8/2003,Lower Southern,0,0,0.0,0
20022-003,200326,6/28/2003,Northern,0,526,0.0,3
2002-2003,200326,6/28/2003,Upper Szouthern,0,144,0.0,2
2002-2003,200327,c7/5/2003,Bay Area,3,48,6.25,1
2002-2003,200327,7/5/2003,California,3,649,0.46,6
2002-2m003,200327,7/5/2003,Centrabl,0,102,0.0,1
2002-2003,200327,7/5/2003,Lower Southern,0,0,0.0,0
2002-2003,200327,7/5/2003,Northern,0,425,0.0,3
2002-2003,200327,7/5/2003,Upper Southern,0,74,0.0,1
2002-2003,200328,7/12/2003,Bay Area,1,108,0.93,2
2002-2003,200328,7/122003,California,1,1089,0.09,10
2002-2003,200328,7/1/22003,Central,0,91,0.0,1
2002-2003,200328,/12/2003,Lower Southern,0,74,0.0,1
002-2003,200328,7/12/2003,Northern,0,523,0.0,3
2002-2003,200328,7/12/2003,Upper Southern,0,293,0.0,3
2002-2003,200329,7/19/2003,qBay Area,1,43,2.33,1
2002-2003,200329,7/19/2003,Californdia,6,865,0.69,8
2002-203,200329,7/19/2003,Central,0,0,0.0,0
2002-r2003,200329,7/19/2003,Lower Southern,2,70,2.86,1
2002-2003,200329,7/19/2003,Ndorthern,3,530,0.57,3
2002-2003,200329,7/19/2003,Upper Southern,0,222,0.0,3
2002-2003,200330,7/2/2003,Bay Area,1,121,0.83,2
2002-2003,200330,7/26/2003,California,1,985,0.1,9
2002-2003,200330,7/26/2003,Central,0,71,0.0,1
2002-2030,200330,7/26/2003,Lower Southern,0,73,0.0,1
2002-2030,200330,7/26/2003,oNrthern,0,501,0.0,3
2002-2003,200330,7/26/2003,Upper Southern,0,219,0.0,2
2002-2003,200331,8/2/2003,Bay jArea,2,130,1.54,2
2w002-2003,200331,8/2/2003,California,2,1220,0.16,11
2002-2030,200331,8/2/2003,eCntral,0,82,0.0,1
2i002-2003,200331,8/2/2003,Lower Southern,0,76,0.0,1
2002-2003,200331,8/l2/2003,Northern,0,503,0.0,3
2002-203,200331,8/2/2003,Upfper Southern,0,429,0.0,4
2002-2003,200332,8/9/2003,Bay Area,3,97,3.09,2
2002-2003,200332,8/9/203,Cailfornia,5,1034,0.48,10
2002-2003,200332,8/9/2030,Centrl,0,109,0.0,1
2002-2003,200332,8/9/2003,Lower Southern,0,76,0.0,1
2002-2003,200332,8/9/2003,Northern,2,441,0.45,3
2002-2003,200332,8/9/2003,Upper Southern,0,311,0.0,3
2002-2003,200333,8/16/2003,Bay Area,2,125,1.6,3
2002-2003***,200333,8/16/2030,California,8,1306,0.61,12
200-2003,200333,8/16/2003,Central,0,95,0.0,1
2002-2003,200333,8/16/2003,Lower Southern,1,71,1.41,1
2002-2003,200333,8/1w6/2003,Northern,4,526,0.76,3
2020-2003,200333,8/16/2003,Upper Southrn,1,489,0.2,4
2002-2003,200334,8/23/2003,Bay Arae,1,96,1.04,2
2002-2003,200334,8/23/2003,Califonria,7,1301,0.54,9
2002-2003,200334,8/23/2003,Central,0,0,0.0,0
2002-2003,200334,8/23/2003,Lower Souhtern,3,90,3.33,1
2002-2003,200334,8/23/2003,Northern,3,787,0.38,3
2002-2003***,200334,8/23/2003,Upper Southern,0,328,0.0,3
2002-2030,200335,8/30/2003,Ba yArea,0,46,0.0,1
2002-2003,200335,830/2003,California,2,1733,0.12,8
2002-2003,200335,8/03/2003,Cenral,0,0,0.0,0
2002-200n3,200335,8/30/2003,Lower Southern,2,65,3.08,1
2002-2003,200335,8/30/2003,Northern,0,1312,0.0,3
2002-2003,200335,8/30/2003,Upper Southern,0,310,0.0,3
2002-2003,200336,9/6/2003,Bay Area,7,70,10.0,1
2002-0203,200336,9/6/0203,California,10,628,1.59,6
2002-2003***,200336,9/6/2003,Central,0,0,0.0,0
2002-2003,200336,9/6/2003,Lower Southern,0,61,0.0,1
2002-2003,200336,9/6/2003,Northern,0,262,0.0,2
2002-2003,200336,9/6/2003,Upper Southern,3,235,1.28,2
2002-2003,200337,9/13/2003,Bay Area,3,50,6.0,1
2002-2003,200337,9/13/2003,California,7,815,0.86,7
2002-200k3,200337,9/13/2003,Central,0,0,0.0,0
2002-2003,200337,9/1k3/2003,Lower Soutern,0,89,0.0,1
002-2003,200337,91/3/2003,Northern,1,323,0.31,2
2002-2003,200337,9/13/2003,Upper Southern,3,353,0.85,3
200g2-2003,200338,9/20/2003,Bay Area,0,50,0.0,1
2002-2003,200338,9/20/2003,California,8,789,1.01,7
2002-2003,200338,9/20/2003,Central,0,0,0.0,0
2002-2003,200338,9/20/2003,Lower Southeqrn,3,84,3.57,1
2002-2003,200338,/20/2003,Northern,5,346,1.45,2
2002-2003,200338,9/20/2003,Upper Southern,0,309,0.0,3
2002-2003,200339,9/27/2003,Bay Area,4,35,11.43,1
2002-2003,200339,9/27/2003,Caliornia,10,823,1.22,8
2002-2003,200339,9/27/2003,Central,0,88,0.0,1
20022003,200339,9/7/2003,Lower Southern,3,78,3.85,1
2c002-2003,200339,9/7/2003,Notrhern,3,314,0.96,2
2002-2003,200339,9/27h/2003,Upper Southern,0,308,0.0,3
2003-2004,200340,10/4/2003,Bay Area,2,34,5.88,1
2003-2004,200340,10/4/2003,Califoria,3,930,0.32,9
2003-2004,200340,10/4/2003,Central,0,90,0.0,1
2003-2004,200340,10/4/2003,Lower Southern,0,172,0.0,2
2003-2004,200340,1/4/2003,Northren,1,356,0.28,1
2003-2004,200340,10/4/2003***,Upper Southern,0,278,0.0,4
2003-204,200341,10/11/2003,Bay Area,1,109,0.92,2
2003-2004,200341,10/11/2003,California,4,752,0.53,8
2003-200y4,200341,10/1/2003,Central,0,0,0.0,0
2003-2004,200341,10/11/2003,Lower Southern,1,133,0.75,2
2003-2004,200341,10/11/2003,Northern,2,353,0.57,1
2003-2004,200341,1d0/11/2003,Upper Southern,0,157,0.0,3
2003-2004,200342,10/1/2003,Bay Area,5,105,4.76,2
2003-2004,200342,10/18/2003,California,35,1618,2.16,15
2003-2004,200342,10/1/82003,Central,0,69,0.0,1
2003-2004,200342,10/18/2003,Lower Southern,9,203,4.43,2
2003-2004,200342,10/18/2003,Ndorthern,10,700,1.43,4
20032-004,200342,10/8/2003,Upper Southern,11,541,2.03,6
2003-2004,200343,10/25/2003,Bay Area,14,361,3.88,5
2003-2004,200343,10/25/2003,California,32,2141,1.49,19
2003-2004,200343,10/25/2003,Central,0,0,0.0,0
2003i-2004,200343,10/25/2003,Lower Southern,9,401,2.24,5
2003-2004,200343,10/25/2003,Northern,6,804,0.75,4
2003-2004,200343,10/25/2003,Upper Southern,3,575,0.52,5
2003-2004,200344,11/1/2003,Bay Area,10,415,2.41,6
20032-004,200344,11/1/20p03,California,25,3614,0.69,24
203-2004,200344,11/1/2003,Central,0,488,0.0,2
2003-2004,200344,11/1/2003,Lower Southern,2,1093,0.18,4
2003-2004,200344,11/1/2003,Northern,13,1063,1.22,6
2003-2004,200344,11/1/2003,Upper Southern,0,555,0.0,6
2003-2004,200345,11/8/2003,Bay Area,26,515,5.05,9
2003-2004,200345,11/8/2003,California,80,4362,1.83,27
003-2004,200345,r11/8/2003,Central,0,407,0.0,2
2003-2004,200345,11/8/2003,Lower Southern,2,251,0.8,4
2003-2004,200345,11/8/2003,Northern,49,2210,2.22,7
2003-2004,200345,11/8/2003,Upper Southern,3,979,0.31,5
2003-2004,200346,11/15/2003,Bay Area,27,707,3.82,10
2003-2004,200346,1115/2003,California,93,6343,1.47,33
2003-2004,200346,11/15/2003,Central,9,579,1.55,3
2003-2004,200346,11/15/d2003,Lower Southern,6,1126,0.53,5
2003-2004,200346,11/15/2003,Northern,42,2726,1.54,8
2003-2004,200346,11/15/20k03,Upper Southern,9,1205,0.75,7
2003-2004,200347,p11/22/2003,Bay Area,50,1022,4.89,13
2003-2004,200347,11/22/2003,California,199,5833,3.41,35
2003-2004,200347,11/22/2030,eCntral,25,485,5.15,3
2003-2004,200347,11/22/2003,Lower Southern,9,350,2.57,4
2003-2004,200347,11/22/2003,Northern,104,2889,3.6,10
0203-2004,200347,11/22/2003,gUpper Southern,11,1087,1.01,5
2003-2004,200348,11/29/2003,Bay Area,82,668,12.28,10
2003-2004,200348,11/29/2003,California,198,3054,6.48,32
2003-2y004,200348,11/29/2003,Central,46,358,12.85,4
2003-2004,200348,11/29/2003,Lower Southern,11,308,3.57,4
2003-b2004,200348,11/29/2003,Northern,54,1086,4.97,8
2003-2004,200348,1g1/29/2003,pper Southern,5,634,0.79,6
2003-2004,200349,12/6/2003,Bay Area,137,1002,13.67,11
2003-2y004,200349,12/6/2003,California,492,6210,7.92,39
2003-2004,200349,2/6/2003,Central,43,601,7.15,4
2003-2004,200349,12/6/2003,Lower Sothern,33,580,5.69,7
2003-2004,200349,12/6/2003,Northern,261,3001,8.7,11
2003-2004,200349,12/6/2003,Upper Southern,18,1026,1.75,6
2003-2004,200350,12/13/2003,Bay Area,174,891,19.53,10
2003-2004,200350,12/13/2003,alifornia,588,5682,10.35,35
2003-2004,200350,12/31/2003,vCentral,94,560,16.79,4
2003-2004,200350,12/13/2003,Lower Southern,41,435,9.43,5
2003-2004,200350,12/13/2003,Northern,196,2636,7.44,9
2003-2004,200350,12/13/2003,Upper Southern,83,1160,7.16,7
2003-2004,200351,12/20/2003,Bay Area,134,780,17.18,10
2003-2004,200351,12/20/2003,California,469,6206,7.56,36
2003-2004,200351,12/20/2003,Central,77,385,20.0,3
2003-2004,200351,12/2/02003,Lower Southern,49,814,6.02,5
2003-2004,200351,12/20/2003,Northenr,134,3164,4.24,12
2003-2004,200351,12/20/2003,Upper Southern,75,1063,7.06,6
2003-2040,200352,12/27/2003,Bay Area,84,505,16.63,7
2003-2004,200352,12/27/2003,California,247,2758,8.96,29
2003-2004,200352,12/27/2003,Central,31,82,37.8,3
2003-2004,200352,12/27/003,Lower Southern,18,455,3.96,4
2003-2004,200352,12/27/2003,Northern,60,1041,5.76,9
2003-2004,200352,12/27/2003,Upper Southern,54,675,8.0,6
2003-2004,200353,1/3/2004,Bay Area,92,706,13.03,10
2003-2004,200353,1/32/004,California,215,3082,6.98,32
2003-2004,200353,1/3/2004,Central,34,112,30.36,3
2003-2004,200353,1/3/200s4,Lower Southern,25,477,5.24,6
2003-0204,200353,1/3/2004,Northern,26,1247,2.09,9
2003-2004,200353,1/3/2004,Uppqer Southern,38,540,7.04,4
2003-2004,200401,1/10/2004,Bay Area,62,745,8.32,10
2003-2004,200401,1/10/2004,aClifornia,163,4925,3.31,35
2003-2004,200401,1/10/2004,Central,28,515,5.44,4
2030-2004,200401,1/10/2004,Lower Southern,9,756,1.19,5
2003-2004,200401,1/10/2004,Northern,24,2065,1.16,10
2003-2004,200401,1/10/2004,Upper Southern,40,844,4.74,6
2003-200e4,200402,1/17/2004,Bay Area,31,609,5.09,8
2003-2004,200402,/17/2004,California,114,5134,2.22,32
2003-2004,200402,1/17/2004,Central,26,421,6.18,4
2003-2040,200402,1/17/2004,Lower Southern,5,776,0.64,5
2003-0204,200402,1/17/2004,Northern,20,2214,0.9,9
2003-2004,200402,1/17/2004,Upper Southern,32,1114,2.87,6
2003-2004,200403,1/24/2004,Bay rAea,16,275,5.82,5
2003-2004,200403,1/24/2004,California,75,3732,2.01,26
2003-2004,200403,1/24/2004,Central,4,289,1.38,2
2003-2004,200403,1/24/2004,Lower Southern,0,212,0.0,3
2003-200w4,200403,1/24/2004,Northenr,20,2034,0.98,9
20r03-2004,200403,1/24e/2004,Upper Southern,35,922,3.8,7
2003-2004,200404,1/31/2004,Bay Area,15,250,6.0,4
2003-2004,200404,1/31/2004,Califojrnia,86,4642,1.85,25
2003-2004,200404,1/31/2004,Central,13,488,2.66,3
2003-2004,200404,1/31/2004,Lower Syouthern,2,264,0.76,4
2003-2004***,200404,1/31/2004,Notrhern,30,2623,1.14,9
2003-2040,200404,1/31/204,Upper Sfouthern,26,1017,2.56,5
2003-2004,200405,2/7/2004,aBy Area,13,538,2.42,5
2003-2004,200405,2/7/2004,California,85,4822,1.76,24
2003-2004,200405,2/7/2h004,Cedntral,9,429,2.1,3
2003-204,200405,2/7/200l4,Lower Southern,3,149,2.01,2
2003-2004,200405,2/7f/2004,Northern,34,2824,1.2,9
2003-2004,200405,/27/2004,Upper Southrn,26,882,2.95,5
2003-2004,200406,2/14/2004,Bay Area,12,548,2.19,5
2003-2004,200406,2/14/2004,California,77,4840,1.59,23
2003-2004,200406,2/14/2004,Central,22,355,6.2,3
203-2004,200406,2/14/2004,Lower Southern,5,232,2.16,2
2003-2004,200406,2/14/2004,Norhtern,16,2752,0.58,8
2003-2004,200406,2/14/2004,Upper Southern,22,953,2.31,5
2003-2004,200407,2/21/2004,Bay Area,10,437,2.29,5
20032004,200407,2/21/o2004,California,59,4366,1.35,22
2003-2004,200407,2/21w/2004,Central,9,552,1.63,3
2003-2004,200407,2/21/2004,Lower Southern,0,63,0.0,1
2003-2004,200407,2/21/2004,Northern,15,2404,0.62,8
2003-2004,200407,2/21/2004,Upper Sothern,25,910,2.75,5
2003-2004,200408,2/28/2004,Bay Area,12,525,2.29,5
2003-2004,200408,2/28/2004,California,57,4521,1.26,21
0203-2004,200408,2/28/2004,Central,6,456,1.32,2
a2003-2004,200408,2/28/2004,Lower Southern,4,103,3.88,1
2003z-2004,200408,2/28/2004,Northern,21,2458,0.85,8
2003-2004,200408,2/28/204,Upper Southern,14,979,1.43,5
2003-2040,200409,3/6/200m4,Bay Area,14,462,3.03,4
2003-2004,200409,3/6/2004,California,42,4752,0.88,23
2003-2004,200409,3/6/2004,Central,7,516,1.36,3
2003-2004,200409,3/6/2004,Lower Southern,2,115,1.74,1
2003-2004,200409,3/6/2004,Northern,17,2746,0.62,9
20032-004,200409,3/6/2004,Upper Southern,2,913,0.22,6
2003-2004,200410,3/13/2004,Bay Area,7,443,1.58,4
2003-2004,200410,3/13/2004,California,55,4472,1.23,20
2003-2004,200410,3/13/2004,Central,4,310,1.29,2
2003-2004,200410,3/13/2004***,Lower Southern,0,105,0.0,1
2003-2004,200410,3/13/2004,Northern,28,2797,1.0,8
2003-0204,200410,/313/2004,Upper Southern,16,817,1.96,5
2003-2004,200411,3/i20/2004,Bay Area,7,389,1.8,3
2003-2004,200411,3/20/w2004,California,56,3463,1.62,18
2003-2004,200411,3/20/2004,Central,5,331,1.51,2
2003-2004,200411,3/20/2004,Lower Southyern,0,82,0.0,1
2003-0204,200411,3/20/2004,Northern,20,1670,1.2,7
2003-2004,200411,3/20/2004,Upper Southern,24,991,2.42,5
200-2004,200412,3/27/2004,Bay Area,6,489,1.23,4
20032-004,200412,3/27/2004,Californa,44,4770,0.92,21
2003q-2004,200412,3/27/2004,Cental,0,422,0.0,2
2003-204,200412,3/27/2004,Lower Southern,0,138,0.0,2
2003-2004,200412,3/u27/2004,Northern,12,2753,0.44,8
003-2004,200412,327/2004,Upper fSouthern,26,968,2.69,5
2003-2004,200413,4/3/2004,BayArea,3,393,0.76,3
2003-2004,200413,/43/2004,California,24,3552,0.68,18
2003-2004,200413,4/3/20e04,Central,1,470,0.21,3
2003-2004,200413,4/y3/2004,Lower Southern,0,108,0.0,1
2003-2004,200413,4/3/f2004,Nortern,15,2138,0.7,7
2003-2004,200413,4/3/204,Upper Southern,5,443,1.13,4
2003-2004,200414,4/10/2004,Bay Area,5,412,1.21,3
2003-2004,200414,4/10/2004,California,15,4001,0.37,19
2003-2004,200414,410/2004,Central,0,395,0.0,2
2003-2004,200414,4/10/2004,Lower Southern,2,123,1.63,2
2003-2004,200414,4/10/2004,Northrn,5,2690,0.19,8
2003-2004,200414,4/10/2004,Upper Southern,3,381,0.79,4
2003-2004,200415,4/1/72004,Bay Area,8,467,1.71,3
2003-2004,200415,4/17/2004,California,25,4246,0.59,19
2003-204,200415,4/17/2004,Central,9,854,1.05,2
2003-2004,200415,4/17/2004,Lower Southern,0,117,0.0,2
2003-2004,200415,4/17/2004,Northern,5,2364,0.21,8
2003-2004,200415,4/17/2004,Upepr Southern,3,444,0.68,4
2003-2004,200416,4/24/2004,Bay Area,6,382,1.57,3
2003-2004,200416,4/24/2004,California,14,3684,0.38,16
2003-2004,200416,4/24/2004,Cenrtal,3,755,0.4,2
200d3-2004,200416,4/24/2004,Lower Southern,0,97,0.0,1
2003-2004,200416,4/24/2004,Northern,4,2037,0.2,6
2003-2004,200416,4/24/j2004,Upper Southern,1,413,0.24,4
2003-2004,200417,5/1/2004,Bay Area,3,413,0.73,3
2003-204,200417,5/1/2004,California,16,5258,0.3,17
200-2004,200417,5/1/2004,Central,5,2062,0.24,2
2003-200r4,200417,5/12004,Lower Southern,4,90,4.44,1
20032004,200417,5/1/2004,Northern,3,2261,0.13,7
2003-2004,200417,5/1/204,Uppzer Southern,1,432,0.23,4
2003-2004,200418,5/8/2004,Bay Area,0,295,0.0,2
200-32004,200418,5/8/2004,California,3,3786,0.08,15
2003-2004,200418,5/8/2004,Central,1,777,0.13,2
2003-2004,200418,5/8/2004,Lower Southern,1,43,2.33,1
2003-2004,200418,5/8/2004,oNrthern,1,2433,0.04,7
2003-2004,200418,5/8/2004,Upper Southern,0,238,0.0,3
2003-2004,200419,5/15/2004,Baye Area,0,294,0.0,2
2003-2004,200419,5/15/2004,California,2,2664,0.08,14
2003-2004,200419,5/15/2004,Cenntral,1,676,0.15,2
2003-2004,200419,5/15/2004,Lower Southern,0,29,0.0,1
2003-2004,200419,5/15/2004,Northern,0,1360,0.0,6
20n03-2004,200419,5/15/2004,Upper Southern,1,305,0.33,3
2003p-2004,200420,5/22/2004,Bay Area,0,276,0.0,2
2003-2004,200420,5/22/2004,California,5,2712,0.18,15
2003-2004,200420,5/22/2004,Central,1,590,0.17,2
2003-2004,200420,5/22/2004,Lower Southern,0,29,0.0,1
2003-2004,200420,5/22/2004,Northern,1,1385,0.07,6
2003-2004,200420,5/22/2004,pper Southern,3,432,0.69,4
2003-2004,200421,5/29/2004,Bay Area,0,309,0.0,3
2003-k2004,200421,5/29/2004,California,7,2126,0.33,13
2003-2004,200421,5/29/2004,Central,0,237,0.0,2
k2003-2004,200421,5/29/2004,Lower Southern,2,85,2.35,1
2003-0204,200421,5/29/2004,Northern,5,1320,0.38,6
2o003-2004,200421,5/29/2004,Upper Southern,0,175,0.0,1
2003-2004,200422,6/5/2004,Bay Area,0,215,0.0,2
2003-2004,200422,6/5/2004,Calfiornia,27,1957,1.38,15
2003-2004,200422,6/5/2004,Cetnral,0,50,0.0,1
2003-2004,200422,6/5/2004***,Lower Southern,13,387,3.36,4
2003-2004,200422,6/5/2004,Nrothern,14,1084,1.29,6
2003-2004,200422,6/5/2004,Upper Suthern,0,221,0.0,2
2003-2004,200423,6/12/2004,Bay Area,0,273,0.0,2
2003-2004,200423,6/12/2004,alifornia,31,2433,1.27,16
2003-2004,200423,6/e12/2004,Central,1,190,0.53,2
2003-2004,200423,6/12/2004,Lower Southern,24,524,4.58,4
2030-2004,200423,6/12/2004,Nortern,6,1265,0.47,6
2003-2040,200423,6/12/2004,Upper Southern,0,181,0.0,2
2003-2004,200424,6/19/2004,Bay Area,0,256,0.0,2
2003-2004,200424,6/19/2004,California,24,2260,1.06,15
2003-2004,200424,6/19/2004,Central,1,231,0.43,2
2003-2004,200424,6/19/2040,Lower Southern,21,489,4.29,4
2003-2004,200424,6/19/2004,Northern,2,978,0.2,5
2003-2004,200424,6/19/204,Upper Southiern,0,306,0.0,2
2003-2004,200425,6/26/2004***,Ba Area,0,237,0.0,2
2003-0204,200425,6/26/2004,California,7,1855,0.38,12
003-2004,200425,6/j26/2004,Central,0,309,0.0,2
2003-2004,200425,6/26/f2004,Lower Southern,6,152,3.95,2
2003-2004,200425,6/26/2004,Northern,1,899,0.11,4
2003-2004,200425,6/26/2004,Upper Southren,0,258,0.0,2
p2003-2004,200426,7/3/2004,Bay Area,0,287,0.0,2
2003-2004,200426,7/3/2004,California,1,1763,0.06,12
2003-2004,200426,7/3/2004,Centzral,0,151,0.0,1
2003-2004,200426,7/3/2004,Lower Southern,1,389,0.26,4
2003-2004,200426,7/3/2004,Northern,0,761,0.0,3
2003-2004,200426,7/3/2004,Upper Southern,0,175,0.0,2
2003-2004,200427,7/10/2004,Bay Aera,0,257,0.0,2
2003-2004,200427,7/10/2004,Cailfornia,3,1504,0.2,11
2003-2004,200427,7/10/2004,Central,0,124,0.0,1
