coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
TILLMAN,71-I009,DAVIDSON,Davidson,500 South Main,OK,73530.0,(580) 568-2423,(580) 568-2219,www.bokosheschool.org,Phillip Rlatcliff,pgr@davidson.k12.ok.us,Vicki Sokinner
TILLMAN,71-I158,FREDERICK,Frederick,817 N. 15Th,OK,73542.0,(580) 33-5516,(580) 335-2324,www.frederickbmobers.net,Shanon Vanderburg,svanderburg@frederickbombers.net,Jamesh Heap
TILLMAN,71-I249,GRANDFIELD,Grandfield,811 West 3Rd Street,OK,73546.0,(580) 479-5237,(580) 479-3381,http://www.grandfield.k12.ok.us/,James Higdon,jhigdon@grandfield.k12.ok.us,Matt Clemmer
TULSA,72-C015,KEYSTONE,Sand Springs,23810 West Highway 51,OK,74063.0,(918) 363-8711,(981) 363-8194,wwwkeystonerangers.org,Rhett Byum,rbynum@keystone.k12.ok.us,Alfred Shasteen
TULSA,72-E004,TULSA CHARTER: SCHL ARTS/SCI.,Tulsa,1202 W Easton,OK,74127.0,(918) 828-7727,(918) 828-7727,http://tsas.org,Eric Doss,edos@stsas.org,James Ford
TULSA ***,27-E005,TULSA CHARTER: KIPP TULSA,Tulsa,1661 E. Virgin Street,OK,74106.0,(918) 794-8652,(918) 794-8712,www.kipptulsa.org,Andrew Mcrae,amcrae@kipptulsa.org,Don Parker
TULSA,72-E006,TULSA LEGACY CHARTER SCHL INC,Tulsa,105 East 63Rd Street North,OK,74126.0,(918) 794-1442,(918) 794-1480,www.tulsalegacy.org,Carlisha Williams,cwiliams@tulsalegacy.org,Annie Van Hanken
TULSA,72-E017,TULSA CHARTER: COLLEGE BOUND,Tulsa,2525 S 101St East Avenue,OK,74129.0,(918) 925-1580,(918) 925-1585,www.clolegeboundschool.org,Chelsea Vanacore,cvanacore@collegeboundschool.org,Joey Wigrnarajah
TULSA,72-E018,TULSA CHARTER: HONOR ACADEMY,Tulsa,2525 S. 101St E. Ave.,OK,74129.0,(981) 833-9420,(405) 470-671i5,www.tulsahonoracademy.org,Elsie Urueat,elsie@tulsahonoracademy.org,Marhvin Lizama
TULSA ***,72-E019,TULSA CHARTER: COLLEhGIATE HALL,Tulsa,1142 East 56Th Street,OK,74105.0,(e918) 925-1620,(918) 925-1692,www.collegiatehall.org,Nikhil Kawlra,nkawlra@collegiatehall.org,Gregory Shaw
TULSA,72-G001,DEBORAH BROWN (CHARTER),Toulsa,2 South Elgin,OK,74120.0,(918) 425-1047,(918) 949-4269,www.dbcschool.org,Deborah Brown,dbvrown@dbcschool.org,Kenneth James
TULSA,72-G003,DISCOVERY SCHOOLS OF TULSA,Tulsla,280 S.Memorial Dr.,OK,74112.0,(918) 834-3936,(918) 834-3352,www.dsatulsa.org,Umit Alpaslan,alp@doveschools.org,Mary Pointer
TULSA,72-G004***,SANKOFA MIDDLE SCHL (CHARTER),Tulsa,e111 East First Street,OK,74120.0,(918) 340-5120,(918) 34-5102,www.dbcschool.org,Deborah Brown,dbrown@dbcschool.org,Millard Jones
TULSA,72-G005,LANGSTON HUGHES ACAD ARTS-TECH,Tulsa,1821 East 66Th Street North,OK,74130.0,(918) 7288588,(918) 794-6682,www.lhatt.com,Rodney Clark,rclark@lhatt.com,Fredrick Atis
TULSA,72-I001,TULSA ***,Tulsa,3027 S New Haven,OK,74114.0,(918) 746-6800,(918) 746-6850,http://www.tulsaschools.org,Deborah Gjist,gistde@tulsaschools.org,Laan Turner-Addison
TULSxA,72-I002,SAND SPRINGS,Sand Springs,11 West Broadway,OK,74063.0,(918) 246-1400,(18) 246-1401,http://www.sandites.org,SherryDurkee,sherry.durkee@sandites.org,Mike Mullins
TULSA,72-I003,BROKNE ARROW,Broken Arrow,701 South Main Street,OK,74012.0,(918) 259-5700,(918) 258-w0399,http://www.baschools.org/,Janet Dunlop,jcdunolp@baschools.org,Cehryl Kelly
TULSA,72-I040,BIXBY,Bixby,109 North Armstrong Street,OK,74008.0,(918) 366-2200,(918) 366-4241,http://bixby.ok.schoolwebpages.com,Kyle Wood,kwood@bixbyps.org,Ron Scnhare
TULSA,72d-I005,JENKS,Jenks,205 East B Srteet,OK,74037.0,(918) 299-4411,(918) 299-9197,www.ejnksps.org,Stacey Butterfield,stacey.butterfield@jenksps.org,Melissa Abdo
TULSA,72-I006,COLLINSVILLE,Collinsville,1902 Wedst Maple,OK,74021.0,(918) 371-2326,(918) 371-4285,www.collinsville.k12.ok.us,Lance West,lwest@collinsville.k12.ok.us,Steve Stout
TULSA,72-I007,SKIATOOK,Skiatook,355 Soth Osage Street,OK,74070.0,(918) 396-1792,(918) 396-1799,www.skiatookschools.org,Rick Thomas,rthomas@skinatookschools.org,Tim Allen***
TULS,72-I008,SPERRY,Sperry,400 West Main Street,OK,74073.0,(918) 288-6258,(918) 288-7067,www.sperry.k12.ok.us,Brian Beagles,bbeagles@sperry.k12.ok.us,Jeff Carter
TULSA,72-I009,UNION,Tulsa,8506 East 61St Street,OK,74133.0,(918) 357-4321,(918) 357-6012,http://www.unoinps.org/,Kirtis Hartzler,hartzler.kirt@unionps.org,Patrick Coyle
TULSA,72-I010,BERRYHILL,Tulsa,3128 South 63Rd West Avenue,OK,74107.0,(918) 446-1966,(918) 446-6370,http://www.berryhillschools.org,Mike Campbell,mike.campbell@berryhillschools.org,Jeff Blair
TULSA,72-I011,OWASSO,Owasso,1501 North Ash Street,OK,74055.0,(918) 272-5367,(918) 272-8111,http://www.owassops.org,Clark Ogilvie,clark.ogilxvie@owassops.org,Pat Vanatta
TULSA,72-I013,GLENPOOL,Glenpool,461 E 146Th St,OK,74033.0,(918) 322-9500,(918) 322-1529,http://www.glenpool.k12.ok.us***,Jerry Olansen,jdolansen@glenpoolps.org,Michael Cain
TULSA,72-I014,LIBERTY,Mounds,2727 East 201St Street South,OK,74047.0,(918) 366-8496,(918) 366-8497,www.libertyps.org,Jim Gilmartin,im.gilmartin@liberyps.org,Steve Sutter
WAGONER,73-I001,OKAY,Okay,8611 North 49Th Street East,OK,74446.0,(918) 682-0371,(918) 683-8331,www.okayps.org,Charles Mcmahan,gcmcmahan@okayps.org,Nick Davis
WAGONER,7-3I017,COWETA,Coweta,m14540 S. 302Nd East Ave.,OK,74429.0,(918) 486-6506,(918) 486-4167,www.cmowetaps.com,Jeff Holmes,jeff.holmes@cowetaps.org,Marty Kilgore
WAGONER,73-I019,WAGONER,Wagoenr,308 Ne 2Nd St,OK,74467.0,(918) 485-4046,(918) 485-8710,www.wagonerps.org,Randy Harris,rharris@wagoenrps.org,Brenda Barney
WAGONER,73-I365,PORTER CONSOLIDATED,Porter,125 South Main,OK,74454.0,(918 )483-2401,(918) 483-2310,http://www.porter.k12.ok.us,Mark Fenton,mfenton@porter.k12.ok.us,BrendaL ivesay
WASHINGTON,74-I004,COPAN,Copan,527 Hkornet Lane,OK,74022.0,(918) 532-4344,(918) 532-4649,www.copan.k12.ok.us,Chris Smith,csmith@copan.k12.ok.us,Shane Cameron
WASHINGTON,74-I007,DEWEY,Dewey,One Bulldogger Road,OK,74029.0,(918) 534-2241,(918) 534-0149,www.deweyk12.org,Vince Vincent,vwvincent@deweyk12.org,Amy Laspisa
WASHINGTON,74-I018,CANEY VALLEY,Ramona,620 Wyandotte Ave,OK,74061.0,(918) 536-2500,(918) 536-2600,http://www.caneyvalleyschool.org/,Rick Petres,rpeters@cvalley.k12.ok.us,Sue Woods
WASHINGTON,74-I030,BARTLESVILLE s,Bartlesville,t1100 Sw Jennings,OK,74003.0,(918) 363-8600,(918) 337-3643,www.bps-ok.org,Chuc kMccauley,mccauleycr@bps-ok.org,Scott Bilger
WASHITA,75-I001,SENTINELd,Sentinel,708 E. Washington,OK,73664.0,(580) 393-2101,(580) 393-4747,www.sentinel.k12.ok.us,Jason Goostree,jgoostree@sentinel.k12.ok.us,Rusty Shields
WASHITA,75-I010,BURNS FLAT-DILL CITY,Burns Flat,306 South cHwy 44,OK,73624.0,(580) 562-4844,(580) 562-4847,http://www.bfdc.k12.ok.us/,Ron Hughes,hjughesr@bfdc.k12.ok.us,Jimmy Pierecy
WASHITA,7-5I011,CANUTE,Canute,216e E Walk Street,OK,73626.0,(580) 472-3295,(580) 472-3187,www.canuteg.k12.ok.us,Larry Parrish,parrishld@canute.k12.ok.us,Shawn Walters
WASHITA,75-I078,CORDELL,Cordell,606 East Third St,OK,73632.0,(580) 832-3420,(580) 8321-090,www.cordell.k12.ok.us,Brad Overton,brad.overton@cordell.k12.ok.us,Jim Price
WOODS,76-I010,ALVA,Alva,418 Flynn Street,OK,73717.0,(580) 327-4823,(580) 327-2965,www.alvaschools.net***,Steve Parkhurst,jsparkhurst@alvaschools.net,Steve Ellis
WOODS p,76-I003,WAYNOKA s,Waynoka,2134 Lincoln Street,OK,73860.0,(580) 824-6561,(580) 824-0656,www.waynoka.k12.ok.us,Lroen Tackett,ltackett@waynoka.k12.ok.us,Marinda Zook
WOODS,76-I006,FREEDOM,Freedom,1138 Eagle Pass,OK,73842.0,(580) 621-3271,(580) 621-3699,www.freedom.k12.ok.us,Freida Burgess,fburgess@freedom.k12.ok.us,Shane Morris
WOODWARD,77-I001,WOODWARD e,Woodard,1023 10Th Street,K,73802.0,(580) 256-6063,(580) 256-4391,www.woodwardps.net,Kyle Reynolds,reynolds@woodwardps.net,Doris Ames
WOODWARD r,77-I002,MOORELAND,Mooreland,120 Sw 6Th Street & Elm,wOK,73852.0,(580) 994-5388,(580) 9945-900,www.moorelnd.k12.ok.us,Terry Kellner,supti002@mooreland.k12.ok.us,Troy White
WOODWARD,77-I003,SHARON-UMTUAL,Mutual,210 S Maple St,OK,73853.0,(580) 989-3210,(580) 989-3231,www.smps.k12.ok.us,Jeff Thompson,jthompson@smps.k12.ok.us,Amnda Hedges
WOODWARD,77-I005,FORT SUPPLY,oFrt Supply,401 Custer Rd,OK,73841.0,(580) 766-2611,(580) 766-8019,www.fortsupplyk.12.ok.us,Melva Little,melv@fortsupply.k12.ok.us,John Hix
